ADM1_NAME,ADM2_NAME,year,month,tropospheric_NO2_column_number_density
Western,Sefwi Bibiani-Anhwiaso Bekwai,2024.0,5.0,1.4554840734704247E-5
Ashanti,Amansie West,2024.0,5.0,1.6084320768705774E-5
Ashanti,Asante Akim South,2024.0,5.0,1.4506596629562722E-5
Ashanti,Ahafo Ano North,2024.0,5.0,1.1741259508048573E-5
Ashanti,Ejisu Juaben,2024.0,5.0,1.6648625093995063E-5
Ashanti,Obuasi Municipal,2024.0,6.0,1.5638016655367547E-5
Ashanti,Atwima Nwabiagya,2024.0,6.0,1.738026943767161E-5
Ashanti,Atwima Mponua,2024.0,6.0,1.4073781645754072E-5
Ashanti,Adansi South,2024.0,6.0,1.4173038596137469E-5
Ashanti,Adansi North,2024.0,6.0,1.381015090471432E-5
Ashanti,Bosome Freho,2024.0,6.0,1.483005082053189E-5
Ashanti,Bekwai Municipal,2024.0,6.0,1.4328435447263809E-5
Ashanti,Amansie Central,2024.0,6.0,1.67372372938008E-5
Western,Wassa Amenfi West,2024.0,6.0,1.151103424266192E-5
Ashanti,Afigya Kwabre,2024.0,6.0,1.967123075254916E-5
Ashanti,Atwima Kwanwoma,2024.0,6.0,1.5570491019173507E-5
Ashanti,Afigya Sekyere,2024.0,6.0,1.691296113762074E-5
Ashanti,Sekyere Central,2024.0,6.0,1.454687187758442E-5
Ashanti,Offinso North,2024.0,6.0,1.3442564921098019E-5
Ashanti,Offinso Municipal,2024.0,6.0,1.502859404248424E-5
Ashanti,Bosomtwe /Atwima / Kwanwoma,2024.0,6.0,1.6596967722603316E-5
Ashanti,Mampong Municipal,2024.0,6.0,1.481607831732588E-5
Western,Ellembelle,2024.0,6.0,1.104067289859968E-5
Western,Prestea / Huni Valley,2024.0,6.0,1.50784934157711E-5
Western,Nzema East,2024.0,6.0,1.083089157158122E-5
Western,Tarkwa Nsuaem,2024.0,6.0,1.4078585611757234E-5
Western,Sefwi Akontombra,2024.0,6.0,1.236534363089601E-5
Western,Sekondi Takoradi,2024.0,6.0,9.9531935796182E-6
Western,Sefwi-Wiawso,2024.0,6.0,1.314486764812184E-5
Western,Shama,2024.0,6.0,1.7100825529865623E-5
Ashanti,Sekyere East,2024.0,6.0,1.697472343694816E-5
Western,Aowin,2024.0,6.0,1.141773477774117E-5
Western,Suaman,2024.0,6.0,1.3282441084401941E-5
Western,Bia East,2024.0,6.0,1.401919516461058E-5
Western,Bia West,2024.0,6.0,1.3425973769509176E-5
Western,Bodi,2024.0,6.0,1.3866176991594028E-5
Western,Juabeso,2024.0,6.0,1.3235175607348563E-5
Western,Wassa East,2024.0,6.0,1.3400152599884484E-5
Western,Mpohor,2024.0,6.0,1.002633324246998E-5
Western,Wassa Amenfi Central,2024.0,6.0,1.2505446008533059E-5
Ashanti,Sekyere Afram Plains,2024.0,6.0,1.4159271725544195E-5
Ashanti,Sekyere Afram Plains North,2024.0,6.0,1.3545127343011087E-5
Ashanti,Asante Akim North,2024.0,6.0,1.4467788489192562E-5
Ashanti,Asante Akim Central Municipal,2024.0,6.0,1.4365339609409698E-5
Ashanti,Asokore Mampong Municipal,2024.0,6.0,2.5146059109804402E-5
Ashanti,Kma,2024.0,6.0,2.3651719284227185E-5
Western,Wassa Amenfi East,2024.0,6.0,1.3837893999641321E-5
Ashanti,Kwabre,2024.0,6.0,2.2711168859282842E-5
Ashanti,Ejura Sekye Dumase,2024.0,6.0,1.4138894006988172E-5
Ashanti,Ahafo Ano South,2024.0,6.0,1.4123046425862935E-5
Western,Jomoro,2024.0,6.0,9.636646909929339E-6
Western,Ahanta West,2024.0,6.0,9.442408835639426E-6
Western,Sefwi Bibiani-Anhwiaso Bekwai,2024.0,6.0,1.4944542619431007E-5
Ashanti,Amansie West,2024.0,6.0,1.6807736376326134E-5
Ashanti,Asante Akim South,2024.0,6.0,1.2992412113845911E-5
Ashanti,Ahafo Ano North,2024.0,6.0,1.61462753914753E-5
Ashanti,Ejisu Juaben,2024.0,6.0,1.851984691311852E-5
Ashanti,Obuasi Municipal,2024.0,7.0,1.346433254789052E-5
Ashanti,Atwima Nwabiagya,2024.0,7.0,1.1349659770143093E-5
Ashanti,Atwima Mponua,2024.0,7.0,1.1210586143050655E-5
Ashanti,Adansi South,2024.0,7.0,1.1307034061791467E-5
Ashanti,Adansi North,2024.0,7.0,1.1646638497675459E-5
Ashanti,Bosome Freho,2024.0,7.0,1.0716931945003072E-5
Ashanti,Bekwai Municipal,2024.0,7.0,1.0532489976400067E-5
Ashanti,Amansie Central,2024.0,7.0,1.2720061946564169E-5
Western,Wassa Amenfi West,2024.0,7.0,1.0743485568027323E-5
Ashanti,Afigya Kwabre,2024.0,7.0,1.4287427766489217E-5
Ashanti,Atwima Kwanwoma,2024.0,7.0,9.129573564160153E-6
Ashanti,Afigya Sekyere,2024.0,7.0,1.3946013184471616E-5
Ashanti,Sekyere Central,2024.0,7.0,1.373720665805215E-5
Ashanti,Offinso North,2024.0,7.0,1.050489562314106E-5
Ashanti,Offinso Municipal,2024.0,7.0,1.0865134219221158E-5
Ashanti,Bosomtwe /Atwima / Kwanwoma,2024.0,7.0,1.0982536887068915E-5
Ashanti,Mampong Municipal,2024.0,7.0,1.1780762966147118E-5
Western,Ellembelle,2024.0,7.0,9.830314857736943E-6
Western,Prestea / Huni Valley,2024.0,7.0,1.277495758199464E-5
Western,Nzema East,2024.0,7.0,1.0177782948824337E-5
Western,Tarkwa Nsuaem,2024.0,7.0,1.1536943932942514E-5
Western,Sefwi Akontombra,2024.0,7.0,8.623376045477814E-6
Western,Sekondi Takoradi,2024.0,7.0,7.107090057189096E-6
Western,Sefwi-Wiawso,2024.0,7.0,8.422089310168512E-6
Western,Shama,2024.0,7.0,1.7569361964232825E-5
Ashanti,Sekyere East,2024.0,7.0,1.1049130299485483E-5
Western,Aowin,2024.0,7.0,1.0125390205218194E-5
Western,Suaman,2024.0,7.0,9.099020977396973E-6
Western,Bia East,2024.0,7.0,1.0488880193742795E-5
Western,Bia West,2024.0,7.0,1.1553469284995395E-5
Western,Bodi,2024.0,7.0,8.642294619789268E-6
Western,Juabeso,2024.0,7.0,1.2275096940695373E-5
Western,Wassa East,2024.0,7.0,1.477686439636733E-5
Western,Mpohor,2024.0,7.0,9.549171937040297E-6
Western,Wassa Amenfi Central,2024.0,7.0,1.0097370510334056E-5
Ashanti,Sekyere Afram Plains,2024.0,7.0,1.3222788108892184E-5
Ashanti,Sekyere Afram Plains North,2024.0,7.0,1.1235939226932419E-5
Ashanti,Asante Akim North,2024.0,7.0,1.0941666260904538E-5
Ashanti,Asante Akim Central Municipal,2024.0,7.0,1.0505264358344096E-5
Ashanti,Asokore Mampong Municipal,2024.0,7.0,1.642244948302801E-5
Ashanti,Kma,2024.0,7.0,1.4040667698205849E-5
Western,Wassa Amenfi East,2024.0,7.0,1.1731320082003806E-5
Ashanti,Kwabre,2024.0,7.0,1.7120174854589987E-5
Ashanti,Ejura Sekye Dumase,2024.0,7.0,1.181938169580288E-5
Ashanti,Ahafo Ano South,2024.0,7.0,1.0770341500548528E-5
Western,Jomoro,2024.0,7.0,9.619310134170343E-6
Western,Ahanta West,2024.0,7.0,6.930586490384513E-6
Western,Sefwi Bibiani-Anhwiaso Bekwai,2024.0,7.0,1.0735204456846642E-5
Ashanti,Amansie West,2024.0,7.0,1.0765171445507474E-5
Ashanti,Asante Akim South,2024.0,7.0,8.980877729930508E-6
Ashanti,Ahafo Ano North,2024.0,7.0,9.936283551767928E-6
Ashanti,Ejisu Juaben,2024.0,7.0,1.4323438805425897E-5
Ashanti,Obuasi Municipal,2024.0,8.0,8.071124643271366E-6
Ashanti,Atwima Nwabiagya,2024.0,8.0,1.0015768874698325E-5
Ashanti,Atwima Mponua,2024.0,8.0,8.777598629661782E-6
Ashanti,Adansi South,2024.0,8.0,1.2265704159426997E-5
Ashanti,Adansi North,2024.0,8.0,1.041117214590508E-5
Ashanti,Bosome Freho,2024.0,8.0,1.2870630072058542E-5
Ashanti,Bekwai Municipal,2024.0,8.0,1.251123673217188E-5
Ashanti,Amansie Central,2024.0,8.0,1.151953238941433E-5
Western,Wassa Amenfi West,2024.0,8.0,8.897971554124494E-6
Ashanti,Afigya Kwabre,2024.0,8.0,1.225582039087746E-5
Ashanti,Atwima Kwanwoma,2024.0,8.0,1.158632321075947E-5
Ashanti,Afigya Sekyere,2024.0,8.0,1.1413846848006754E-5
Ashanti,Sekyere Central,2024.0,8.0,1.4724428551672896E-5
Ashanti,Offinso North,2024.0,8.0,1.0570483425831806E-5
Ashanti,Offinso Municipal,2024.0,8.0,7.577332039526125E-6
Ashanti,Bosomtwe /Atwima / Kwanwoma,2024.0,8.0,1.2535607901812438E-5
Ashanti,Mampong Municipal,2024.0,8.0,1.5068140425008632E-5
Western,Ellembelle,2024.0,8.0,6.847288233977804E-6
Western,Prestea / Huni Valley,2024.0,8.0,1.2094766269608565E-5
Western,Nzema East,2024.0,8.0,8.745321219968092E-6
Western,Tarkwa Nsuaem,2024.0,8.0,9.659803652924434E-6
Western,Sefwi Akontombra,2024.0,8.0,8.85684379130757E-6
Western,Sekondi Takoradi,2024.0,8.0,6.727563673677696E-6
Western,Sefwi-Wiawso,2024.0,8.0,7.73753512326267E-6
Western,Shama,2024.0,8.0,1.0445618966717271E-5
Ashanti,Sekyere East,2024.0,8.0,1.127018447169245E-5
Western,Aowin,2024.0,8.0,7.316790786965181E-6
Western,Suaman,2024.0,8.0,9.684999638657142E-6
Western,Bia East,2024.0,8.0,6.3386809719111555E-6
Western,Bia West,2024.0,8.0,9.798453585100776E-6
Western,Bodi,2024.0,8.0,8.19164922263023E-6
Western,Juabeso,2024.0,8.0,6.902879089844235E-6
Western,Wassa East,2024.0,8.0,1.261867266438436E-5
Western,Mpohor,2024.0,8.0,8.951558866492719E-6
Western,Wassa Amenfi Central,2024.0,8.0,9.468393606637175E-6
Ashanti,Sekyere Afram Plains,2024.0,8.0,1.2242494904981751E-5
Ashanti,Sekyere Afram Plains North,2024.0,8.0,1.1943070273705919E-5
Ashanti,Asante Akim North,2024.0,8.0,1.2422817730034074E-5
Ashanti,Asante Akim Central Municipal,2024.0,8.0,7.982512293539791E-6
Ashanti,Asokore Mampong Municipal,2024.0,8.0,
Ashanti,Kma,2024.0,8.0,1.735079999948853E-5
