ADM1_NAME,ADM2_NAME,year,month,SO2_column_number_density
Western,Bia East,2019.0,4.0,-5.989292539278296E-5
Western,Bia West,2019.0,4.0,-6.230994450222363E-5
Western,Bodi,2019.0,4.0,-5.171295095246256E-5
Western,Juabeso,2019.0,4.0,-3.49011730021706E-5
Western,Wassa East,2019.0,4.0,-4.890861503473412E-5
Western,Mpohor,2019.0,4.0,-7.668672970565113E-5
Western,Wassa Amenfi Central,2019.0,4.0,-2.8808684587980636E-5
Ashanti,Sekyere Afram Plains,2019.0,4.0,-3.4249775632856564E-5
Ashanti,Sekyere Afram Plains North,2019.0,4.0,-2.207379580050637E-5
Ashanti,Asante Akim North,2019.0,4.0,-1.0732043426729984E-5
Ashanti,Asante Akim Central Municipal,2019.0,4.0,-2.9633416185862163E-5
Ashanti,Asokore Mampong Municipal,2019.0,4.0,-3.0835192873086783E-5
Ashanti,Kma,2019.0,4.0,-5.9052508353526534E-5
Western,Wassa Amenfi East,2019.0,4.0,-3.976293400720329E-5
Ashanti,Kwabre,2019.0,4.0,-1.054304243633178E-5
Ashanti,Ejura Sekye Dumase,2019.0,4.0,-5.29145805119797E-5
Ashanti,Ahafo Ano South,2019.0,4.0,-5.5093980498578985E-5
Western,Jomoro,2019.0,4.0,-2.101313232564004E-5
Western,Ahanta West,2019.0,4.0,-1.0630953585693252E-5
Western,Sefwi Bibiani-Anhwiaso Bekwai,2019.0,4.0,-3.833661646932119E-5
Ashanti,Amansie West,2019.0,4.0,-4.479974373294268E-5
Ashanti,Asante Akim South,2019.0,4.0,-5.038259091352121E-5
Ashanti,Ahafo Ano North,2019.0,4.0,-4.321634424147879E-5
Ashanti,Ejisu Juaben,2019.0,4.0,-4.282067484569805E-5
Ashanti,Obuasi Municipal,2019.0,5.0,-2.5167015443960423E-5
Ashanti,Atwima Nwabiagya,2019.0,5.0,-3.1701601759210766E-5
Ashanti,Atwima Mponua,2019.0,5.0,-2.0778554652435265E-5
Ashanti,Adansi South,2019.0,5.0,-1.9292600446735943E-5
Ashanti,Adansi North,2019.0,5.0,-4.4465843080708153E-5
Ashanti,Bosome Freho,2019.0,5.0,-5.8893687451542096E-5
Ashanti,Bekwai Municipal,2019.0,5.0,-7.743361146616412E-6
Ashanti,Amansie Central,2019.0,5.0,-3.955017590969658E-5
Western,Wassa Amenfi West,2019.0,5.0,-3.31747093504001E-5
Ashanti,Afigya Kwabre,2019.0,5.0,3.593836430178954E-6
Ashanti,Atwima Kwanwoma,2019.0,5.0,-2.9789579115476977E-5
Ashanti,Afigya Sekyere,2019.0,5.0,-2.473218296082166E-5
Ashanti,Sekyere Central,2019.0,5.0,-3.0806317473252896E-5
Ashanti,Offinso North,2019.0,5.0,-2.8510922420173948E-5
Ashanti,Offinso Municipal,2019.0,5.0,-2.4860619603073593E-7
Ashanti,Bosomtwe /Atwima / Kwanwoma,2019.0,5.0,-8.579696394691882E-6
Ashanti,Mampong Municipal,2019.0,5.0,-8.696520386150373E-6
Western,Ellembelle,2019.0,5.0,-3.0394281434872556E-5
Western,Prestea / Huni Valley,2019.0,5.0,-4.593753647780866E-5
Western,Nzema East,2019.0,5.0,-3.0285249707243712E-5
Western,Tarkwa Nsuaem,2019.0,5.0,-7.661282288804318E-5
Western,Sefwi Akontombra,2019.0,5.0,-5.78141750965801E-5
Western,Sekondi Takoradi,2019.0,5.0,4.798321644294403E-5
Western,Sefwi-Wiawso,2019.0,5.0,-3.36519066794844E-5
Western,Shama,2019.0,5.0,-4.630782118315231E-6
Ashanti,Sekyere East,2019.0,5.0,-2.1158379477201283E-5
Western,Aowin,2019.0,5.0,-4.818872187990753E-5
Western,Suaman,2019.0,5.0,-4.6860788825485036E-5
Western,Bia East,2019.0,5.0,-3.580167394350485E-5
Western,Bia West,2019.0,5.0,-4.780835828268056E-5
Western,Bodi,2019.0,5.0,-3.921412746693068E-5
Western,Juabeso,2019.0,5.0,-5.1629057984397E-5
Western,Wassa East,2019.0,5.0,-4.941411290358031E-5
Western,Mpohor,2019.0,5.0,-9.386473424819199E-6
Western,Wassa Amenfi Central,2019.0,5.0,-1.9419629652922034E-5
Ashanti,Sekyere Afram Plains,2019.0,5.0,-3.2601042312827296E-5
Ashanti,Sekyere Afram Plains North,2019.0,5.0,-4.366580819271935E-6
Ashanti,Asante Akim North,2019.0,5.0,-2.0055127158292573E-5
Ashanti,Asante Akim Central Municipal,2019.0,5.0,-1.5934319307781486E-5
Ashanti,Asokore Mampong Municipal,2019.0,5.0,-5.0256988196091696E-5
Ashanti,Kma,2019.0,5.0,-2.4801309132509235E-5
Western,Wassa Amenfi East,2019.0,5.0,-2.486462925508679E-5
Ashanti,Kwabre,2019.0,5.0,-6.195610891423661E-5
Ashanti,Ejura Sekye Dumase,2019.0,5.0,7.154912821369599E-6
Ashanti,Ahafo Ano South,2019.0,5.0,-2.9605500785405926E-5
Western,Jomoro,2019.0,5.0,-1.154589251105008E-5
Western,Ahanta West,2019.0,5.0,-2.4808649091177295E-5
Western,Sefwi Bibiani-Anhwiaso Bekwai,2019.0,5.0,-3.9030974314730164E-5
Ashanti,Amansie West,2019.0,5.0,-4.598523163796219E-5
Ashanti,Asante Akim South,2019.0,5.0,-3.0833989654283864E-5
Ashanti,Ahafo Ano North,2019.0,5.0,-2.7161006181258836E-5
Ashanti,Ejisu Juaben,2019.0,5.0,-5.274261181810506E-5
Ashanti,Obuasi Municipal,2019.0,6.0,-3.6896752615945857E-5
Ashanti,Atwima Nwabiagya,2019.0,6.0,-3.410460747998132E-5
Ashanti,Atwima Mponua,2019.0,6.0,-2.4526194341100733E-5
Ashanti,Adansi South,2019.0,6.0,-3.86840710332766E-5
Ashanti,Adansi North,2019.0,6.0,-3.3126860803820864E-5
Ashanti,Bosome Freho,2019.0,6.0,-6.442550006078086E-5
Ashanti,Bekwai Municipal,2019.0,6.0,-5.762105241962305E-5
Ashanti,Amansie Central,2019.0,6.0,-2.0532976633215874E-5
Western,Wassa Amenfi West,2019.0,6.0,-5.185184165751533E-5
Ashanti,Afigya Kwabre,2019.0,6.0,-5.90777820462976E-5
Ashanti,Atwima Kwanwoma,2019.0,6.0,-4.0652484666644264E-5
Ashanti,Afigya Sekyere,2019.0,6.0,-3.4565384126900974E-5
Ashanti,Sekyere Central,2019.0,6.0,-2.1576821669417945E-5
Ashanti,Offinso North,2019.0,6.0,-1.185423799070288E-5
Ashanti,Offinso Municipal,2019.0,6.0,-1.97455832855295E-5
